Account,Airdrop,GnoOption,UserOption,Claiming on:
0x001969d64ba9cc3973e6f4d692aaf27cd7d73e1a,9.75,9.75,0.00,Gnosis Chain
0x001ac3f0972b620cd6be82ba54d111614d7d48fb,99.81,0.00,0.00,Gnosis Chain
0x001ae46d19350442537900992541d2c285fe78c8,50.33,50.33,0.00,Gnosis Chain
0x001d403396518fe7b0032df1b648498f9c7caa1d,"2,985.48",0.00,"2,304.15",Gnosis Chain
0x001da99a3554b6506bdc2079fee6a97081f1b58b,5.08,5.08,0.00,Gnosis Chain
0x001e15709c2b2e7fb61d8220ae9b444c1eef2d00,"3,980.64",0.00,"5,760.37",Gnosis Chain
0x001e4c3e2d5e181f881c1ae4a8e3264192271eac,106.45,0.00,0.00,Gnosis Chain
0x001f96b7e19a54ae45f451b0148336504d03fdcf,"1,846.78",0.00,"1,152.07",Gnosis Chain
0x001fbfe0e74adedea03e6ad3e2fc1eee1a2d5045,106.45,0.00,0.00,Gnosis Chain
0x00204acd48e582f710652b264145102edb0166a6,99.81,0.00,0.00,Gnosis Chain
0x0022505a56190e01336c48a480422ffb4dbdf3fb,99.81,0.00,0.00,Gnosis Chain
0x00248c162125435c1e2ee5a0d8cb1e5688eb75c1,3.36,3.36,0.00,Gnosis Chain
0x002505eefcbd852a148f03ca3451811032a72f96,"2,985.48",0.00,"2,304.15",Gnosis Chain
0x00273b1f2696b9c9ae4834c60111c625c7e1dcd6,99.81,0.00,0.00,Gnosis Chain
0x002781a27becd321d831d815e3fa386944b329c8,99.81,0.00,0.00,Gnosis Chain
0x0027dea862773ddd43cc58c57768837b0b4b6243,99.81,0.00,0.00,Gnosis Chain
0x002c609dc34918269e2174d82fcb6ecb4f6cf386,"1,846.78",0.00,"1,152.07",Gnosis Chain
0x002c6ad2ac9662547a1ba2638f0454b7f0e1c1c9,3.19,3.19,0.00,Gnosis Chain
0x002c77a71d54e6da4b28690fe1676752a74a67eb,99.81,0.00,0.00,Gnosis Chain
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,"7,961.28",0.00,"11,520.74",Gnosis Chain
0x003241b8f1f51d97561677be952fef8d90ea485f,99.81,0.00,0.00,Gnosis Chain
0x00343217b01188388c0e3242278231ace35e1b61,"6,316.22","6,316.22",0.00,Gnosis Chain
0x0034fe7bc02f8d551cf065ee7bdc699708a71693,27.79,27.79,0.00,Gnosis Chain
0x0035fc5208ef989c28d47e552e92b0c507d2b318,"3,837.10",0.00,"2,304.15",Gnosis Chain
0x003627aba1c52dd43b5224c1adf3e31784cab310,4.47,4.47,0.00,Gnosis Chain
0x00366b3a481e659e3784a08dc07cef555abbc6b6,31.58,31.58,0.00,Gnosis Chain
0x00369b46cd0c232ff5dc1d376248c4954ce645ee,"7,961.28",0.00,"11,520.74",Gnosis Chain
0x0038a7030781232990ae0eb10edff5ac14ab5f0f,318.77,318.77,0.00,Gnosis Chain
0x003946bff7426851bf519335baef99fbbd45e2d5,10.31,10.31,0.00,Gnosis Chain
0x00397d81c4b005e86df0492fd468891ad2153377,4.95,4.95,0.00,Gnosis Chain
0x003d331f86cd3f58ded76c686a53e6d3ff7f0464,99.81,0.00,0.00,Gnosis Chain
0x003dfb25d1edabb3cc273d6160b8a84ba21c07fb,99.81,0.00,0.00,Gnosis Chain
0x003dfd836b5aecc95f0e42f1e1f21879c31e8f46,99.81,0.00,0.00,Gnosis Chain
0x003ee823287f8d1891b0a575cc793a6aad2622dd,206.26,0.00,0.00,Gnosis Chain
0x003f35595dce3187b4fff2b5a2c4303f7158208a,99.81,0.00,0.00,Gnosis Chain
0x003f6b20bfa4b5cab701960ecf73859cb3c095fc,99.81,0.00,0.00,Gnosis Chain
0x0040daac32d83c78546ae36da42a496b28ab09e1,"3,837.10",0.00,"2,304.15",Gnosis Chain
0x00414d938b22fc68c96e141e09a2ccdc0334fa59,28.14,28.14,0.00,Gnosis Chain
0x004221dda252fe51bcb1a567dfb316e06e063c64,31.91,31.91,0.00,Gnosis Chain
0x00424a7035ee77adb825e45472668561f5fbbb18,99.81,0.00,0.00,Gnosis Chain
0x00427c81629cd592aa068b0290425261cbb8eba2,99.81,0.00,0.00,Gnosis Chain
0x0046457f10b27a69147d133c0706c1843284616e,31.72,31.72,0.00,Gnosis Chain
0x0047be923f60b2c3aa87b92636e1d0a215a59ed9,106.45,0.00,0.00,Gnosis Chain
0x00489b1fd4eb4c266b3f6d930f31c4c2123f1eca,6.32,6.32,0.00,Gnosis Chain
0x004a55bff0f0e69c88dae1071da69e422c6e14ae,99.81,0.00,0.00,Gnosis Chain
0x004a6cb2d2dbb3481b951f96713453e2a05d58e6,"3,980.64",0.00,"5,760.37",Gnosis Chain
0x004ae0e4435993f2e07dbdb3d32dafc78e36c7e5,19.40,19.40,0.00,Gnosis Chain
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,99.81,0.00,0.00,Gnosis Chain
0x004baeac693aac11dcd1d7139338d32fbd87898a,"4,793.84","4,793.84",0.00,Gnosis Chain
0x004c692b4cf48cadd15ae10c5875b6fb8b5fcc69,26.54,26.54,0.00,Gnosis Chain
0x004e5752600518d32a8081786410964ca3ee1add,180.13,80.32,0.00,Gnosis Chain
0x00501455eb5dd10828133b544ead819b0845e6b7,125.86,125.86,0.00,Gnosis Chain
0x00514112b64626360445d45dae83327c989face2,"3,787.31","3,787.31",0.00,Gnosis Chain
0x005252a5253d50cea954e66d582399d7c201568e,31.58,31.58,0.00,Gnosis Chain
0x00542c33e50f6d92f2d7661e4318f89e4191f5e3,99.81,0.00,0.00,Gnosis Chain
0x0056090310f647e10b433e891a8fd4e630a414b0,54.89,54.89,0.00,Gnosis Chain
0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,"2,985.48",0.00,"2,304.15",Gnosis Chain
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,96.37,96.37,0.00,Gnosis Chain
0x005b8185c3ea205418e91538a0918770b31b9d1a,995.16,0.00,"1,152.07",Gnosis Chain
0x005cc0c0fd522c603b91a3365280bbe57892286e,99.81,0.00,0.00,Gnosis Chain
0x005cc2172dc1a1f69e92b2bc5696ae269bdef0e7,99.81,0.00,0.00,Gnosis Chain
0x005ce84caa772a1a87607fa47f9bafa457980b20,15.99,15.99,0.00,Gnosis Chain
0x005d81c7ae9ebf29268be728a05742cc9ec09d2f,3.26,3.26,0.00,Gnosis Chain
0x005d8431c17d7706c8262ccf4d558e4e05ec3778,"3,174.11","3,174.11",0.00,Gnosis Chain
0x005e5cac6eb7637edf689403e01b86bda451ef61,99.81,0.00,0.00,Gnosis Chain
0x005f16f017aa933bb41965b52848ceb8ee48b171,"1,004.39",9.23,"1,152.07",Gnosis Chain
0x005f4d230644b6e89320ea869def77c4b4f9ce97,99.81,0.00,0.00,Gnosis Chain
0x006042ade38b5a03765f7bc24fe69cd2a3d07173,99.81,0.00,0.00,Gnosis Chain
0x0062255c376060f71c90abd0c07609bffb36b4a4,99.81,0.00,0.00,Gnosis Chain
0x0062770e0a47727209256ffdf6b50d2e85de33f8,99.81,0.00,0.00,Gnosis Chain
0x00645dd21310882cc32399abcb54e0a05b3b5d1d,"3,374.67",389.19,"2,304.15",Gnosis Chain
0x0064dd1840a0e5284280244f2da76aef484c6cd3,"1,846.78",0.00,"1,152.07",Gnosis Chain
0x0066ea8811856575b8d442387b10b77b1916ecf9,"8,084.76","8,084.76",0.00,Gnosis Chain
0x00670bf160f03492ab83030617e333f039d8e52e,"9,190.26","5,209.62","5,760.37",Gnosis Chain
0x006734473b8ae6f50a2e42e28c9ca56f1bdc17aa,"1,846.78",0.00,"1,152.07",Gnosis Chain
0x0068fc957108fdf9e5c13f8da4e010ac36254dc0,133.15,133.15,0.00,Gnosis Chain
0x0068fd4b444557f540aa32f31897eede9fa550a6,33.20,33.20,0.00,Gnosis Chain
0x006952480c43b97801a21f6eac26359a87d0bc84,32.49,32.49,0.00,Gnosis Chain
0x00695c7fcd8ee1517adb85c24547fc792613a5c5,106.45,0.00,0.00,Gnosis Chain
0x006a07961612a8916ed40b87eff4a1146447dbaa,99.81,0.00,0.00,Gnosis Chain
0x006a8a496889e9983a5256f34b608ee9569ba319,99.81,0.00,0.00,Gnosis Chain
0x006b3ac5b5fe0715ff9216642fb6c7ce6a422c7d,3.25,3.25,0.00,Gnosis Chain
0x006b4373c570d62e7bb1bb52ba95543e50971810,106.45,0.00,0.00,Gnosis Chain
0x006b4b47c7f404335c87e85355e217305f97e789,"2,985.48",0.00,"2,304.15",Gnosis Chain
0x006c62a6ad60b2736167b340a406347dd2f15c12,99.81,0.00,0.00,Gnosis Chain
0x006c6af83451fd0a360d61e2c8a6f55fa82a5e2c,8.93,8.93,0.00,Gnosis Chain
0x006c70bb4f90eb486eec31cc8137f88239dd4d0e,99.81,0.00,0.00,Gnosis Chain
0x006f2a0f61afb0371c235a2f551d40b51406930c,951.43,0.00,0.00,Gnosis Chain
0x006fd0d2fe39818817f9fa47deb17a0b7359e722,106.45,0.00,0.00,Gnosis Chain
0x00708191df01535d29fa7ded95ad4bb64374a328,99.81,0.00,0.00,Gnosis Chain
0x00723249fcd81fe530bf7a49ca35405275170918,47.06,47.06,0.00,Gnosis Chain
0x0073d543131b7fab442374da7965b358b4502872,3.79,3.79,0.00,Gnosis Chain
0x007485c276e7b77a13f48e19b6041b47291c304f,206.26,0.00,0.00,Gnosis Chain
0x007654238589152622aff386c7b636b3a97307da,13.86,13.86,0.00,Gnosis Chain
0x00766c6c3c26237a9c8772e19021279f40a66f9d,995.16,0.00,"1,152.07",Gnosis Chain
0x0077dff1347006287dc6396074d5fa48c0e644c7,99.81,0.00,0.00,Gnosis Chain
0x0077e5b039fce655ccd65e78f103064b2f9128ba,212.91,0.00,0.00,Gnosis Chain
0x007800bffc1c88edbcd21835a71d17a7a87ba42d,"3,980.64",0.00,"5,760.37",Gnosis Chain
0x0078678a0e199f9442a5b729284b7e71980da4ca,99.81,0.00,0.00,Gnosis Chain
0x0079418d9dc201b95717806441698a949adb8fee,3.19,3.19,0.00,Gnosis Chain
0x007a654ebb59c0f7ec276c709fc000967ccbf4a9,"1,140.12","1,140.12",0.00,Gnosis Chain
0x007a9c44522ce00140363e832bb9fc8b00b580be,99.81,0.00,0.00,Gnosis Chain
0x007b85fa5f101930c3119947c23391b6647e85bb,158.38,158.38,0.00,Gnosis Chain
0x007c32b21c96fbf91ef98cc8696ce05ed1a94820,15.79,15.79,0.00,Gnosis Chain
0x007c4bb067d9b6afeb4c13415477d396123c4aa3,"2,985.48",0.00,"2,304.15",Gnosis Chain
0x007ca3a9974d3c0ac2b01bc45e1aedeb7f9f0bc1,18.58,18.58,0.00,Gnosis Chain
0x007dbed1b4a125c45df88f3ffa350ff70c94dd9f,99.81,0.00,0.00,Gnosis Chain
0x007de57773b6eb4ebbf6a740dfde1efdd5629630,106.91,7.10,0.00,Gnosis Chain
0x007ec846ca707efbf46d077b5af24ddc46232f0a,37.27,37.27,0.00,Gnosis Chain
0x007f0f784d8dedc0e150172b74f1457b30f0f09d,106.45,0.00,0.00,Gnosis Chain
0x007f41f598c9ee3a2e7e91158ec3887dfbbd2330,99.81,0.00,0.00,Gnosis Chain
0x007f816f30cf1387279820ab2801e5ad63a6a3c3,99.81,0.00,0.00,Gnosis Chain
0x00808c161fc811698ac93ab4de5cfd123555bfd3,99.81,0.00,0.00,Gnosis Chain
0x00812076e9460d60e7f9af956cbda17ac64eeaa2,99.81,0.00,0.00,Gnosis Chain
0x008155703baba16541816e0d7f28145611449c94,99.81,0.00,0.00,Gnosis Chain
0x00843213a104a752ec360108688979e378204137,3.20,3.20,0.00,Gnosis Chain
0x00845760be75af25caf1bf57cdc7b19f27999a00,186.77,186.77,0.00,Gnosis Chain
0x00865c36b568d5f7e9c1227ebf70a2414951dfc5,99.81,0.00,0.00,Gnosis Chain
0x0088b7a2ee442d30dc18b5fe9e3227af18120b02,106.45,0.00,0.00,Gnosis Chain
0x00899f9ad6d1bb0332e1932c732632a694c5a549,42.32,42.32,0.00,Gnosis Chain
0x0089b988ca94bf62cd88a5af10e5cfc9432ef568,99.81,0.00,0.00,Gnosis Chain
0x008aee1a0c7af9b201cc4dba0cc855908dd834b2,99.81,0.00,0.00,Gnosis Chain
0x008b09c232b799d6b39d45f18c571f9a25c93ad9,235.94,136.13,0.00,Gnosis Chain
0x008b5e5aa942a546bb3554c4b6dd68ea56fb428a,46.86,46.86,0.00,Gnosis Chain
0x008c2b6e55284a2ea09c62d50a7da4c7c151dec9,"3,049.07",63.59,"2,304.15",Gnosis Chain
0x008f2efbaef8adf0af43ea009350ba6b572cf585,"7,961.28",0.00,"11,520.74",Gnosis Chain
0x008f905a5a5adefe2df2109d074f675e2c53195c,106.45,0.00,0.00,Gnosis Chain
0x00928c8dec90cc70160a7e9e84539352aba9fb68,99.81,0.00,0.00,Gnosis Chain
0x00933a786ee4d5d4592c0d1cf20b633c6a537f5f,349.25,349.25,0.00,Gnosis Chain
0x00937cb6c92d1c3d78a61aeff2b350abc5f2b9b6,99.81,0.00,0.00,Gnosis Chain
0x0093e5f2a850268c0ca3093c7ea53731296487eb,89.11,89.11,0.00,Gnosis Chain
0x009511aa3e264e3fdc060f2006f69cf1dd2bd1ba,106.45,0.00,0.00,Gnosis Chain
0x00957c45c2c1e652ca330131e57793d696d3579b,216.06,3.16,0.00,Gnosis Chain
0x00958a142c69908b866f3d39baf432e6d2a540f4,94.38,94.38,0.00,Gnosis Chain
0x0096ff7df52608fe01cfb655a1fcf11dfc93e12a,99.81,0.00,0.00,Gnosis Chain
0x00979a08541e6c3fa86779db1c6e206977ad6e66,99.81,0.00,0.00,Gnosis Chain
0x0098407be0049c179cae9b17fb673412da386c88,99.81,0.00,0.00,Gnosis Chain
0x009988ff77eeaa00051238ee32c48f10a174933e,99.81,0.00,0.00,Gnosis Chain
0x0099e3ef25cb1d29fe5f2d272e5a09f2b057d02f,7.57,7.57,0.00,Gnosis Chain
0x009b7b4f3a43d75ebaf2f4c13fe2c1baa75eb92d,3.16,3.16,0.00,Gnosis Chain
0x009c07cc41a358176c97b525284d50f4960bc939,31.58,31.58,0.00,Gnosis Chain
0x009d15864d2425d83b19b5afc8f96141fd9e1dc3,4.58,4.58,0.00,Gnosis Chain
0x009ec7d76febecabd5c73cb13f6d0fb83e45d450,490.94,490.94,0.00,Gnosis Chain
0x009f59e995adc357ff14fc5c316349d450d725bd,99.81,0.00,0.00,Gnosis Chain
0x009ffc4c24fad800af692aab9cfffe29849daac4,31.58,31.58,0.00,Gnosis Chain
0x00a0847926a77692495774f1c71ba8abef99dd52,995.16,0.00,"1,152.07",Gnosis Chain
0x00a11ea59f9c857c883f597c10353d9f257f7713,99.81,0.00,0.00,Gnosis Chain
0x00a1f968e1d8c90f193ec7eea611cc90ff4240bb,99.81,0.00,0.00,Gnosis Chain
0x00a240a1db8d0be7f38a29b63d6bcb93f2d16c76,99.81,0.00,0.00,Gnosis Chain
0x00a2ddfa736214563cea9aef5100f2e90c402918,99.81,0.00,0.00,Gnosis Chain
0x00a32e18524c3df72ec65f8aa8e055097e678187,106.45,0.00,0.00,Gnosis Chain
0x00a33c8379b03085ad0c0b4f6fb38c63deba8475,99.81,0.00,0.00,Gnosis Chain
0x00a3deca6e7aab583c5adf5432ce53c39abca61a,4.25,4.25,0.00,Gnosis Chain
0x00a4b7fae16cd0169902bc4e3ac7dacbcf685dcd,103.49,3.69,0.00,Gnosis Chain
0x00a4ceceef89a949afa2ce10c73ed5f0d79dfb3c,10.30,10.30,0.00,Gnosis Chain
0x00a53ab64bf9f5231dc23e8cab6ac9ba40209557,99.81,0.00,0.00,Gnosis Chain
0x00a8bec03805bcfaafab1050dbcf90f57982d750,99.81,0.00,0.00,Gnosis Chain
0x00a9c4eb9d07c45fa17ebaed09c17808b0874bde,99.81,0.00,0.00,Gnosis Chain
0x00ab7f485c49b3e9ce86e5c3d89bb1a63518e87d,99.81,0.00,0.00,Gnosis Chain
0x00ac270072efbdc76d4bfcf9c7f84b0d5643f66a,99.81,0.00,0.00,Gnosis Chain
0x00ac9eec7fcbfb335ff678e4137e2e3383989204,99.81,0.00,0.00,Gnosis Chain
0x00ad3d4cc099be937879451698c673cbd5c3cefc,"1,057.88",0.00,0.00,Gnosis Chain
0x00ad4f0ac5a64b01173357fa14609acdcfcd0a8c,"3,837.10",0.00,"2,304.15",Gnosis Chain
0x00ad6821a8b859c9348d2bbe3e0eb3c7bbabbd75,4.65,4.65,0.00,Gnosis Chain
0x00ae252041cc9320e882b6d8e086f723a1a70a45,63.16,63.16,0.00,Gnosis Chain
0x00ae72a0805ac2081556128a9fdfbe75b574f89c,28.27,28.27,0.00,Gnosis Chain
0x00af158367a6fcdb1a367f6d503e05799f340881,106.45,0.00,0.00,Gnosis Chain
0x00aff6d5bcd342a3fc51419997b13b8ee0f75bcb,99.81,0.00,0.00,Gnosis Chain
0x00b15625c2e6b16d72c353159d29d78db50922ac,"1,481.36","1,381.55",0.00,Gnosis Chain
0x00b3230e7215e3dfb85f576326630ad24e89848e,99.81,0.00,0.00,Gnosis Chain
0x00b5c12d160887a15679e44db629225cbacf6e8c,99.81,0.00,0.00,Gnosis Chain
0x00b7c84dbbd871a8eb209138174d1ef378f015a0,99.81,0.00,0.00,Gnosis Chain
0x00bc341854c9ea74bd57e5919dc164195951ace2,15.46,15.46,0.00,Gnosis Chain
0x00bc5b61042fa8375dba651a2309bc5595302ec1,"7,961.28",0.00,"11,520.74",Gnosis Chain
0x00bd1f29eb40bb3682035749d63062ecceb1f433,995.16,0.00,"1,152.07",Gnosis Chain
0x00beeb85d617364526a34e8402ee082697d3beb6,99.81,0.00,0.00,Gnosis Chain
0x00bf18c8027c151e49e604b803f9eddfdac42495,197.73,38.05,0.00,Gnosis Chain
0x00c0f1e2b164d625bbec7c5264147bed9f36a654,99.81,0.00,0.00,Gnosis Chain
0x00c16377f63731e309789d8750c10cc8dae6264f,99.81,0.00,0.00,Gnosis Chain
0x00c1f0b409bc76c15a5740ecdc4dbb7e9c4bb3d8,99.81,0.00,0.00,Gnosis Chain
0x00c2461dbf4c79437669133485968f266fbdcfe2,3.76,3.76,0.00,Gnosis Chain
0x00c2a435274df296024ab94a070673f5aeb49204,"7,961.28",0.00,"11,520.74",Gnosis Chain
0x00c2cdfd0ccf699632d87bac5802e9136f9989e2,99.81,0.00,0.00,Gnosis Chain
0x00c3134fd818e43fac6bcfb55528cba8adc6e158,99.81,0.00,0.00,Gnosis Chain
0x00c5564f742417d2c0bc0106788bfbb1562aaf63,99.81,0.00,0.00,Gnosis Chain
0x00c62fb0ed991c19edffedf58136f42d188c3cf2,106.45,0.00,0.00,Gnosis Chain
0x00c67d9d6d3d13b42a87424e145826c467cccd84,"4,832.26",0.00,"5,760.37",Gnosis Chain
0x00c78c256b12d21f8a7dc06fe6dfe07c16886e4c,131.39,31.58,0.00,Gnosis Chain
0x00c7a43c814df48906c52fd839c57c3f0526fb25,99.81,0.00,0.00,Gnosis Chain
0x00c7e8191a08b6b11725b459da2d0df60bd7c453,99.81,0.00,0.00,Gnosis Chain
0x00c86e5946b60764dc788d1bfe778b9ddeb4f823,99.81,0.00,0.00,Gnosis Chain
0x00c9acc867f576baf35e96521d139115b316a48d,106.45,0.00,0.00,Gnosis Chain
0x00c9b37df30acb68ad0b6ecb419425ff22f652d1,99.81,0.00,0.00,Gnosis Chain
0x00cac4282082070e60353917e53c2560fd511971,99.81,0.00,0.00,Gnosis Chain
0x00cbb5f42ced86d5f24019aa10bc58355f7faa6a,"2,985.48",0.00,"2,304.15",Gnosis Chain
0x00cc4cae4ce9cbd5c87f877b1c81acb8cc8bf223,99.81,0.00,0.00,Gnosis Chain
0x00ccbe18aeb637fa4eec553e860dfab262b55852,99.81,0.00,0.00,Gnosis Chain
0x00cd9fad11d5b2118a3dd32d5d43fdb33bde9e85,951.43,0.00,0.00,Gnosis Chain
0x00ce2da22f9d3707eb49e3740f3665c6a9a43974,3.16,3.16,0.00,Gnosis Chain
0x00ce93832b0c878d21ee78cbe27ad3e6574bba7a,68.09,68.09,0.00,Gnosis Chain
0x00cf291c713f204b1ac03f86a8ed5d11acb4fb7a,99.81,0.00,0.00,Gnosis Chain
0x00d0385f5adce4756c6dc06080c2fe12a25752cd,4.86,4.86,0.00,Gnosis Chain
0x00d0cecffeba6409885fc19a5059b6b0f812bf2d,99.81,0.00,0.00,Gnosis Chain
0x00d0ee3f86ac4e92847792a75e922d373ab40b68,821.11,821.11,0.00,Gnosis Chain
0x00d17c08bd748e25c751b1b1838df6a61063289e,12.03,12.03,0.00,Gnosis Chain
0x00d1dd1e437980fb6e678cfc2ffc78a1f7a747d1,6.61,6.61,0.00,Gnosis Chain
0x00d2b7f8d17f623207ff4bd10e944e1d96c62f48,"2,985.48",0.00,"2,304.15",Gnosis Chain
0x00d70685b16a224d026b1b28d125e9bd7a03d9c1,995.16,0.00,"1,152.07",Gnosis Chain
0x00dacfd769bc30e4f64805761707573cb710552c,995.16,0.00,"1,152.07",Gnosis Chain
0x00dafe6876eda00560476fbab4528abe4a7df539,3.37,3.37,0.00,Gnosis Chain
0x00de3a8bdee6e682c3509d66a947d05a8ca797af,"1,953.24",0.00,"1,152.07",Gnosis Chain
0x00e13f97e1980126cbe90f21b9c1b853878031dd,892.49,792.69,0.00,Gnosis Chain
0x00e2ad8ca24f7b657aee021985050843795cf22f,106.45,0.00,0.00,Gnosis Chain
0x00e2bc12170f9d37d06ce01a2e816af013ff2185,9.49,9.49,0.00,Gnosis Chain
0x00e2cd5597c1253ef1460e3ba2d89186263875cb,995.16,0.00,"1,152.07",Gnosis Chain
0x00e307428042dc831229c0a4d74edc21d4ca8bc6,316.16,316.16,0.00,Gnosis Chain
0x00e3088ddbd715f119651a58964ce1714b590f34,99.81,0.00,0.00,Gnosis Chain
0x00e5753e5e8a5c1f3be40392495446477edac73c,99.81,0.00,0.00,Gnosis Chain
0x00ea9e43c49663798e9e761607389012d9649808,66.59,66.59,0.00,Gnosis Chain
0x00eb073135fd135046b1811e029707c31341e4f9,225.08,225.08,0.00,Gnosis Chain
0x00ec9e5a060c465e39b0fa905680d857637b0e26,99.81,0.00,0.00,Gnosis Chain
